id,topic,group,prompt_A,prompt_B,answer_A,answer_B,prompt_mean,answer_mean
01,Интернет-магазин детской одежды,Технологии,10,10,10,10,10,10
02,Мобильный трекер привычек,Технологии,10,10,10,10,10,10
03,Формула Excel для домашних расходов,Технологии,10,10,10,10,10,10
04,Очистка списка покупок Python,Технологии,10,10,10,10,10,10
05,Защита личных аккаунтов,Технологии,10,10,10,10,10,10
06,Подготовка к проектированию дома,Дом,10,10,10,10,10,10
07,Расчёт плитки для ванной,Дом,10,10,10,10,10,10
08,Сравнение затрат на отопление,Дом,10,10,10,10,10,10
09,Домашнее рабочее место,Дом,10,10,10,10,10,10
10,Планировка дачного участка,Дом,10,10,10,10,10,10
11,Автомобиль плохо заводится,Транспорт,10,10,10,10,10,10
12,Осмотр подержанного автомобиля,Транспорт,10,10,10,10,10,10
13,Подготовка велосипеда к сезону,Транспорт,9,10,9,10,9.5,9.5
14,Учёт инструментов в гараже,Транспорт,10,10,10,10,10,10
15,План поездки на электромобиле,Транспорт,10,10,10,10,10,10
16,Разговор супругов о домашних делах,Отношения,10,10,10,10,10,10
17,Подросток и экранное время,Отношения,10,10,10,10,10,10
18,Перегрузка на работе,Отношения,10,10,10,10,10,10
19,Подготовка к приёму врача,Здоровье,10,10,10,10,10,10
20,Возвращение к физической активности,Здоровье,10,10,10,10,10,10
21,Семейное меню с ограничением,Быт,10,10,10,10,10,10
22,Организация режима сна,Быт,10,10,10,10,10,10
23,Подготовка кота к ветеринару,Питомцы,10,10,10,10,10,10
24,Желтеют листья комнатного растения,Питомцы и растения,10,10,10,10,10,10
25,Обучение собаки подзыву,Питомцы и растения,10,10,10,10,10,10
26,Резюме при смене профессии,Карьера,10,10,10,10,10,10
27,Переговоры о зарплате,Карьера,10,10,10,10,10,10
28,Английский для рабочих встреч,Обучение,8,8,10,10,8,10
29,Объяснение дробей ребёнку,Обучение,10,10,10,10,10,10
30,План подготовки к экзамену,Обучение,10,10,10,10,10,10
31,Выходные в новом городе,Путешествия,10,10,10,10,10,10
32,Переезд в другую квартиру,Быт,10,10,10,10,10,10
33,Семейный праздник,Быт,10,10,10,10,10,10
34,Разбор вещей дома,Быт,10,10,10,10,10,10
35,Субботник во дворе,Общество,10,10,10,10,10,10
36,Экономика небольшой кофейни,Бизнес,10,10,10,10,10,10
37,Контент для мастерской,Бизнес,10,10,10,10,10,10
38,SEO-текст страницы услуги,Бизнес,10,10,10,10,10,10
39,Ответ недовольному клиенту,Бизнес,10,10,9,9,10,9
40,Классификация обращений,Бизнес,10,10,10,10,10,10
41,Вопросы юристу о найме жилья,Документы и деньги,10,10,10,10,10,10
42,Бриф договора с фрилансером,Документы и деньги,10,10,10,10,10,10
43,Ежемесячный бюджет,Документы и деньги,10,10,10,10,10,10
44,Накопление на покупку,Документы и деньги,10,10,10,10,10,10
45,Сравнение страховых предложений,Документы и деньги,10,10,10,10,10,10
46,Детская история,Творчество,10,10,10,10,10,10
47,Поздравительная речь,Творчество,10,10,10,10,10,10
48,Исследование семейной истории,Творчество и исследование,10,10,9,10,10,9.5
49,Разбор научных фрагментов,Творчество и исследование,10,10,10,10,10,10
50,Расписание клуба в библиотеке,Общество,10,10,10,10,10,10
