| Направление | Конкретное действие | Предпосылки | Что можно сделать уже сейчас | Что пока мешает и когда можно продолжить |
|---|---|---|---|---|
| Поиск жилья | Составить требования к жилью | Найденное жильё и дата не нужны | Подготовить перечень обязательных условий и желательных удобств | Приоритеты неизвестны; уточнить их перед отбором |
| Поиск жилья | Определить район поиска и допустимые расходы | Сведения о личных потребностях и доступных средствах | Составить список данных для определения территории и бюджета | Нет географии и бюджета; продолжить после их определения |
| Поиск жилья | Подготовить и начать предварительный поиск | Для целевого поиска нужны территория и основные требования | Наметить поисковые запросы, фильтры и таблицу вариантов | Искать варианты можно до определения даты; доступность заселения проверять позднее |
| Поиск жилья | Сравнить варианты и проверить условия | Найдены подходящие предложения | Составить список проверок: состояние, полная стоимость, условия проживания, документы | Нет предложений; сравнение продолжить после их появления |
| Поиск жилья | Выбрать подходящий вариант | Проверены условия, соответствие бюджету и возможный срок заселения | Определить критерии окончательного выбора | Нет проверенных вариантов и срока; выбор сам по себе не означает договорённости |
| Поиск жилья | Оформить заселение и получить доступ | Выбрано жильё, проверены документы, согласованы условия и срок доступа | Описать последовательность оформления и передачи ключей | Договорённостей нет. Оплата и бронирование запрещены; требующие их шаги возможны только после изменения ограничения и согласования расходов |
| Подготовка коробок | Уточнить состав и примерный объём вещей | Доступ к своим вещам; жильё и дата не нужны | Подготовить опись по категориям, отдельно отметить хрупкое и тяжёлое | Состав и объём неизвестны; заполнить опись при осмотре вещей |
| Подготовка коробок | Разделить вещи по необходимости | Для окончательной сортировки нужна опись | Задать категории: брать, решить позднее, оставить доступным до переезда | Решения по отдельным вещам принять после осмотра |
| Подготовка коробок | Рассчитать потребность в упаковке | Известны вещи, их размеры и имеющаяся тара | Составить список видов упаковки и схему маркировки | Неизвестны запасы и потребность; покупки сейчас исключены |
| Подготовка коробок | Упаковать редко используемые вещи самостоятельно | Вещи отобраны, подходящая упаковка уже имеется | Составить порядок ранней упаковки | Дата и ключи не требуются; при отсутствии тары упаковка соответствующих вещей откладывается |
| Подготовка коробок | Завершить упаковку повседневных вещей | Известен срок выезда, упаковка доступна | Составить перечень вещей последнего дня и отдельной сумки первой необходимости | Нет срока выезда; завершать, когда вещи перестанут требоваться до переезда |
| Сам перевоз вещей | Уточнить маршрут и условия доступа | Известны исходный адрес и выбранное жильё | Подготовить список сведений: адреса, этажи, лифты, ограничения доступа | Конечный адрес неизвестен; дополнить после выбора жилья |
| Сам перевоз вещей | Оценить способы перевозки | Известны маршрут, объём, вес и доступный бюджет | Задать критерии вместимости и самостоятельной переноски | Данных недостаточно; транспорт и помощники не определены |
| Сам перевоз вещей | Составить график перевозки | Известны срок выезда, доступ в новое жильё и подходящий способ | Описать порядок загрузки, перемещения и разгрузки | Дата неизвестна; бронирование запрещено, услуги не согласованы |
| Сам перевоз вещей | Перевезти вещи и проверить доставку | Жильё доступно, коробки готовы, способ перевозки обеспечен; необходимые договорённости подтверждены | Составить контрольный список коробок и проверки вещей | Продолжить после выполнения предпосылок; платные действия требуют изменения запрета и согласования расходов |
