| Тема | Вопрос для обсуждения с дизайнером | Что нужно определить |
|---|---|---|
| Результат | Что именно дизайнер передаст по завершении работы? | Полный перечень материалов: логотип, его версии, исходные файлы и другие согласованные элементы. |
| Результат | Каким требованиям должен отвечать логотип? | Назначение, содержание, стиль, цвета, варианты размещения и технические требования. |
| Результат | В каких форматах будут исходники? Что в них можно будет редактировать и какими программами? | Форматы, степень редактируемости, совместимость, необходимые шрифты и связанные файлы. |
| Результат | Когда и каким способом будут переданы промежуточные и итоговые материалы? | Этапы, сроки, канал передачи и состав материалов на каждом этапе. |
| Приёмка | По каким признакам будем проверять соответствие результата заданию? | Понятные критерии проверки и согласованную версию задания для сравнения. |
| Приёмка | Кто проверяет работу, сколько времени занимает проверка и как подтверждается приёмка? | Ответственного, срок проверки, способ передачи замечаний и явного подтверждения результата. |
| Приёмка | Что делаем, если обнаружены несоответствия заданию? | Порядок фиксации замечаний, сроки устранения, повторную проверку и условия завершения приёмки. |
| Изменения | Сколько итераций входит в стоимость и что считается одной итерацией? | Число итераций, их содержание и способ подсчёта. |
| Изменения | Как будем собирать и передавать обратную связь? | Участников согласования, ответственного за сводные замечания, канал и сроки ответа. |
| Изменения | Как отличаем исправление несоответствия заданию от нового пожелания? | Признаки каждого случая, порядок разрешения разногласий, влияние на стоимость, сроки и лимит итераций. |
| Изменения | Как согласуем работы сверх первоначального задания? | Описание дополнительных работ, цену, сроки и способ подтверждения до их начала. |
| Оплата | Какова общая цена и что в неё входит? | Стоимость, валюту расчётов и перечень включённых работ и материалов. |
| Оплата | Когда и при каких условиях производятся платежи? | Этапы, размеры платежей, основания для оплаты и связь с передачей и приёмкой результата. |
| Оплата | Какие дополнительные расходы возможны и кто их оплачивает? | Виды расходов, порядок предварительного согласования и подтверждения. |
| Оплата | Как рассчитываемся, если работа прекращается досрочно? | Порядок определения выполненного объёма, возможной доплаты или возврата, передачи оплаченных материалов. |
| Права | Кто выступает заказчиком и исполнителем? Какое применимое право необходимо учитывать? | Стороны и применимое право, требующие уточнения перед согласованием условий о правах. |
| Права | Где и как планируется использовать логотип? | Носители, способы использования, территории, длительность использования и необходимость последующих изменений. |
| Права | Какие права предоставляются и с какого момента? | Объём, ограничения, необходимость исключительности, условия и момент предоставления прав; отдельно от передачи исходных файлов. |
| Права | Будут ли использованы чужие шрифты, изображения или другие материалы? | Перечень сторонних компонентов, источники, лицензии, ограничения использования и необходимые расходы. |
| Права | Может ли дизайнер показывать работу в портфолио? | Допустимость публикации, её сроки, площадки, состав показываемых материалов и необходимость отдельного согласования. |
